GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,Value,316,0,54,0,17,0,48,0,21,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,CollectorSummary,137,0,18,0,7,0,22,0,13,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,Message,196,0,24,0,22,0,31,0,19,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,PromVectorOrMatrix.MetricJsonObjectDeserializer,62,0,6,0,9,0,10,0,7,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,ValueRow,128,0,22,0,6,0,22,0,11,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,PromVectorOrMatrix,126,0,22,0,6,0,21,0,10,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,AlertReport,420,0,72,0,13,0,61,0,25,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,MetricsData.MetricsDataBuilder,63,0,0,0,1,0,9,0,9,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,MetricsHistoryData.MetricsHistoryDataBuilder,54,0,0,0,1,0,8,0,8,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,Field,214,0,38,0,8,0,34,0,15,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.push,PushMetricsDto.Metrics,162,0,24,0,7,0,25,0,13,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.push,PushMetrics.PushMetricsBuilder,45,0,0,0,1,0,7,0,7,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.push,PushMetricsDto,90,0,14,0,7,0,16,0,9,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.push,PushMetricsDto.PushMetricsDtoBuilder,18,0,0,0,1,0,4,0,4,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.push,PushMetrics,214,0,38,0,8,0,34,0,15,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.push,PushMetricsDto.Metrics.MetricsBuilder,36,0,0,0,1,0,6,0,6,0
hertzbeat-common,org.dromara.hertzbeat.common.support.exception,SendMessageException,4,0,0,0,2,0,1,0,1,0
hertzbeat-common,org.dromara.hertzbeat.common.support.exception,CommonException,4,0,0,0,2,0,1,0,1,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,CollectorMonitorBind.CollectorMonitorBindBuilder,72,0,0,0,1,0,10,0,10,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,Monitor.MonitorBuilder,126,0,0,0,1,0,16,0,16,0
